"movie_id","director_id"
"693134","137427"
"823464","98631"
"359410","11694"
"438631","137427"
"1011985","64151"
"792307","122423"
"634492","223551"
"872585","525"
"763215","17597"
"1083658","80660"
"1125311","55075"
"437342","1706480"
"984324","84439"
"1127166","129106"
"967847","57193"
"1022796","15774"
"1022796","2375591"
"845783","2138168"
"560016","76788"
"802219","1415665"
"848538","957"
"787699","101666"
"915935","1175620"
"866398","19769"
"572802","2127"
"1181548","1785761"
"695721","10943"
"968441","1727045"
"467244","66728"
"972614","2232"
"1072790","82511"
"929590","2036"
"1017633","203159"
"857655","1096867"
"508883","608"
"1037113","910328"
"346698","45400"
"969492","125324"
"976893","2303"
"353616","1278722"
"399566","98631"
"940551","1092607"
"11","1"
"927107","16938"
"129","608"
"157336","525"
"850165","527607"
"671","10965"
"609681","1795072"
"124905","129894"
"636706","212408"
"9502","57742"
"9502","57741"
"940721","43652"
"978592","59265"
"838209","1544991"
"313369","136495"
"974036","94471"
"653346","1179066"
"1039773","1318632"
"1005576","115788"
"348","578"
"666277","2518227"
"365620","638"
"975773","1096867"
"1041613","856440"
"19995","2710"
"838240","95528"
"603692","40644"
"679","2710"
"1022690","7396"
"840430","13235"
"1019420","62079"
"1106049","81157"
"475557","57130"
"155","525"
"845111","1422940"
"10135","63943"
"897087","35453"
"335984","137427"
"76600","2710"
"78","578"
"837335","931211"
"373571","11012"
"569094","89596"
"569094","2451598"
"569094","1046497"
"238","1776"
"784651","35785"
"786892","20629"
"1046090","119410"
"4935","608"
"140300","142312"
"140300","1262481"
"49444","142312"
"1726","15277"
"1239251","1229448"
"245891","40644"
"673593","1438991"
"673593","1438990"
"597","2710"
"27205","525"
"496243","21684"
"932420","227346"
"105","24"
"329","488"
"841","5602"
"447365","15218"
"293167","236539"
"937287","78160"
"672","10965"
"22","1704"
"760774","30310"
"361743","86270"
"993784","84617"
"889737","57130"
"1257130","131709"
"1160164","1556959"
"753342","578"
"293660","55252"
"1094556","1951095"
"957304","1224"
"299534","19271"
